"China stakes claim to ASEAN 'neighbourhood' as Pompeo jets in for Bangkok talks","Asia-articles-txt/articles46txt","31 Jul 2019 09:26PM","trade war,China,free trade,Pompeo,ASEAN,Asia"
"Three-year-old in China survives six-storey fall","Asia-articles-txt/articles47txt","31 Jul 2019 09:03PM","China,Asia"
"Hundreds of Hong Kong flights delayed, some cancelled due to tropical cyclone Wipha","Asia-articles-txt/articles48txt","31 Jul 2019 08:27PM","Hong Kong,weather,Typhoon Wipha,Hong Kong International Airport,Asia"
"Indonesia sends thousands of security personnel to combat forest fires","Asia-articles-txt/articles49txt","31 Jul 2019 07:30PM","Indonesia,forest fire,Sumatra,Borneo,Asia"
"Philippines approves plan to build new Manila airport","Asia-articles-txt/articles50txt","31 Jul 2019 07:24PM","Philippines,Manila,aviation,Asia"
"Police divers quit search of river for Canada murder suspects","Asia-articles-txt/articles51txt","06 Aug 2019 04:27AM","Canada,divers,Nelson River,fugitives,Kam McLeod,Bryer Schmegelsky,Asia"
"North Korea took US$2 billion in cyberattacks to fund weapons programme: UN report","Asia-articles-txt/articles52txt","06 Aug 2019 04:05AM","North Korea,cybersecurity,Kim Jong Un,United Nations,Asia"
"China may halt French police cooperation over Interpol case","Asia-articles-txt/articles53txt","06 Aug 2019 01:40AM","Framce,Meng Hongwei,China,Interpol,bribery,Asia"
"Hong Kong protests: A roundup of all the rallies, clashes and strikes on Aug 5","Asia-articles-txt/articles54txt","06 Aug 2019 12:28AM","Hong Kong protests,Hong Kong,Asia"
"'Hong Kong has no future like this': Singaporeans living in Hong Kong share their concerns about escalating protests","Asia-articles-txt/articles55txt","05 Aug 2019 10:26PM","Hong Kong protest,Hong Kong,Asia"
"'A star is born!' Golf-mad Japan salutes 'Smiling Cinderella'","Asia-articles-txt/articles56txt","05 Aug 2019 09:48PM","Hinako Shibuno,sports,Japan,Cinderella,Sport"
"The tough choices for China over Hong Kong unrest","Asia-articles-txt/articles57txt","05 Aug 2019 09:32PM","Hong Kong protest,Hong Kong,Asia"
"EU criticises 'militarisation' of South China Sea","Asia-articles-txt/articles58txt","05 Aug 2019 06:51PM","Beijing,China,Hanoi,Asia"
"Philippines sends ex-rebels on lavish trip abroad in surrender push","Asia-articles-txt/articles59txt","05 Aug 2019 06:47PM","Philippines,Rodrigo Duterte,Asia"
"Malaysian king again stops motorcade to check on car accident victim","Asia-articles-txt/articles60txt","05 Aug 2019 06:41PM","Malaysia,Sultan Abdullah,Asia"
"Club floor collapses in South Korea as athletes dance; two people dead","Asia-articles-txt/articles61txt","27 Jul 2019 09:15AM","Gwangju,South Korea,water polo,news and politics,Australia,Sport"
"Hong Kong braces for 'anti-triad' rally despite police ban","Asia-articles-txt/articles62txt","27 Jul 2019 07:13AM","news and politics,Hong Kong,China,Hong Kong protests,Asia"
"The Thai women working illegally to power the seedy underbelly of Singapore’s nightlife","Asia-articles-txt/articles63txt","27 Jul 2019 06:30AM","singapore,thailand,immigration,police,crime,Asia"
"Penang mega reclamation project a divisive issue on the ground","Asia-articles-txt/articles64txt","27 Jul 2019 06:26AM","Malaysia,Penang,reclamation,development,Asia"
"Commentary: How did Hong Kong, my home, turn into a war zone?","Asia-articles-txt/articles65txt","27 Jul 2019 06:26AM","Hong Kong,China,extradition bill,Hong Kong protests,Commentary"
